category,type,code,description,code_dsm,plafond,effective_date,taux_2024,taux_2025,taux_2026
CONSTANT,"SALARIAL",BASE_HEURES_LEGALE,Base légale heures mensuelles,,,JANUARY,169.0,169.0,169.0
CONSTANT,"SALARIAL",SMIC_HORAIRE,SMIC horaire Monaco,,,JANUARY,11.88,11.88,11.88
CONSTANT,"SALARIAL",TAUX_HS_125,Taux heures sup 125%,,,JANUARY,1.25,1.25,1.25
CONSTANT,"SALARIAL",TAUX_HS_150,Taux heures sup 150%,,,JANUARY,1.5,1.5,1.5
CONSTANT,,TICKET_RESTO_VALEUR,Valeur unitaire ticket restaurant,,,JANUARY,9.0,9.0,9.0
CONSTANT,"PATRONAL",TICKET_RESTO,Part patronale ticket restaurant,,,JANUARY,0.6,0.6,0.6
CONSTANT,"SALARIAL",TICKET_RESTO,Part salariale ticket restaurant,,,JANUARY,0.4,0.4,0.4
CHARGE,SALARIAL,CCSS,Caisse de Compensation des Services Sociaux,9301,9600,OCTOBER,13.4,13.4,13.4
CHARGE,SALARIAL,RETRAITE_CAR,Caisse Autonome des Retraites,1901,6112,OCTOBER,6.85,6.85,6.85
CHARGE,PATRONAL,RETRAITE_CAR,Caisse Autonome des Retraites,1901,6112,OCTOBER,8.33,8.33,8.33
CHARGE,SALARIAL,UNEDIC,Assurance chômage,7001,15456,JANUARY,4.05,4.05,4.05
CHARGE,PATRONAL,UNEDIC,Assurance chômage,7001,15456,JANUARY,4.05,4.05,4.05
CHARGE,PATRONAL,CMRC TA,Caisse Monégasque de Retraite Complémentaire,1911,3971,OCTOBER,4.722,4.722,4.722
CHARGE,PATRONAL,CMRC TB,Caisse Monégasque de Retraite Complémentaire,1913,31768,OCTOBER,12.954,12.954,12.954
CHARGE,SALARIAL,CMRC TA,Caisse Monégasque de Retraite Complémentaire,1911,3971,OCTOBER,3.148,3.148,3.148
CHARGE,SALARIAL,CMRC TB,Caisse Monégasque de Retraite Complémentaire,1913,31768,OCTOBER,8.636,8.636,8.636
